Name,Quantity,Calories,Unit
"Almonds, flaked",100,596,g
Apples,100,52,g
Apricots,100,48,g
"Artichokes, in oil",100,119,g
Asparagus,100,20,g
Aubergine,100,24,g
Avocado,100,190,g
Bacon,100,300,g
Bananas,100,89,g
Basil,100,23,g
"Beans, red kidney",100,266,g
Beansprouts,100,27,g
Beef mince,100,186,g
Beer,330,142,ml
Blackberries,100,43,g
Bran flakes,100,356,g
Bread,100,250,g
Broad beans,100,72,g
Broccoli,100,34,g
Burger bun (50g),1,152,items
Butter,100,729,g
"Cabbage, red",100,31,g
"Cabbage, savoy",100,27,g
Candied lemon peel,100,318,g
Candied orange peel,100,323,g
Carrots,100,41,g
Cashew nuts,100,553,g
Cauliflower,100,25,g
Celery,100,16,g
Chapati,100,280,g
Cherries,100,63,g
Cherry tomatoes,100,18,g
Chicken breast without skin,100,114,g
"Chicken leg without skin, roasted",100,191,g
Chicken thighs with skin,100,211,g
Chicken thighs without skin,100,119,g
"Chickpeas, dried",100,368,g
"Chickpeas, tinned",100,129,g
Chicory (endive),100,17,g
"Chillies, fresh",100,40,g
"Chocolate, dark (70%)",100,566,g
"Chocolate, milk",100,525,g
"Chocolate, milk, Migros bio",100,548,g
"Chocolate, Frey citron et poivre",100,532,g
"Chocolate, orangey",100,527,g
"Chocolate, tourist cremant",100,513,g
Chorizo,100,415,g
Coconut milk,100,193,ml
Coffee (2 scoops),1,5,items
Cornflour,100,351,g
Cornichons,100,33,g
Courgette,100,17,g
Couscous,100,369,g
"Cream, double",100,343,ml
Creme fraiche,100,338,g
"Crisps, Zweifel nature",100,552,g
"Crisps, root vegetable",100,488,g
"Crisps, Tyrrells",100,510,g
Crunchy muesli,100,445,g
Cucumber,100,10,g
Dark chocolate hobnobs,1,95,items
Egg yolk,1,55,items
Eggs,1,75,items
Fennel,100,31,g
Feta (light),100,162,g
Figs,100,74,g
Fish sauce (nam pla),100,45,ml
Flour,100,345,g
Garlic cloves,1,3,items
Gin,100,236,ml
Ginger,100,80,g
"Gnocchi, Migros",100,131,g
"Goats' cheese, Chavroux",100,177,g
Grana padano,100,385,g
Grapes,100,69,g
Greengages,100,42,g
Groundnut oil,100,828,ml
Gruyere,100,396,g
Hafercookies,1,61,items
Halloumi,100,316,g
"Harissa, Belazu",100,250,g
"Hollandaise, Knorr",100,190,ml
"Hollandaise, Tomy",100,230,ml
Honey,100,335,g
Hot chocolate powder,100,376,g
"Ice cream, Mövenpick vanilla",100,257,g
"Jam, blackcurrant",100,262,g
Japanese rice crackers,100,396,g
"Juice, apple",100,46,ml
"Juice, lime",100,25,ml
"Juice, orange",100,45,ml
Kiwi fruit,100,49,g
Lebkuchenherzen,1,52,items
Leeks,100,61,g
"Lentils, green",100,310,g
"Lentils, moong dhal",100,279,g
"Lentils, red",100,336,g
"Lentils, urid dal, whole",100,275,g
Lime pickle,100,196,g
"Mange tout, frozen",100,33,g
Mango,100,65,g
Mango chutney,100,240,g
Mayonnaise,100,740,g
Melon,100,34,g
"Melon, cantaloupe",100,34,g
Meringues,100,395,g
"Milk, semi-skimmed",100,56,ml
"Milk, whole",100,66,ml
